iter	Passed	Remaining
148	24760	141419
149	24936	141307
150	25144	141374
151	25236	140795
152	25427	140765
153	25613	140709
154	25699	140104
155	25861	139917
156	26037	139808
157	26243	139855
158	26413	139709
159	26605	139678
160	26788	139601
161	26977	139547
162	27158	139456
163	27336	139350
164	27514	139242
165	27678	139058
166	27844	138886
167	28022	138775
168	28198	138658
169	28361	138469
170	28515	138240
171	28676	138047
172	28838	137857
173	28997	137652
174	29186	137591
175	29344	137387
176	29501	137174
177	29697	137140
178	29879	137046
179	30074	137005
180	30237	136821
181	30347	136394
182	30515	136234
183	30691	136109
184	30868	135989
185	31039	135839
186	31224	135750
187	31392	135587
188	31554	135401
189	31700	135143
190	31864	134965
191	32029	134792
192	32186	134584
193	32354	134423
194	32534	134309
195	32718	134211
196	32888	134058
197	33083	134004
198	33267	133904
199	33451	133804
200	33626	133670
201	33824	133624
202	33990	133451
203	34168	133323
204	34325	133116
205	34484	132917
206	34648	132734
207	34815	132566
208	34978	132381
209	35181	132348
210	35346	132172
211	35497	131942
212	35673	131807
213	35829	131598
214	35991	131409
215	36158	131240
216	36312	131027
217	36495	130916
218	36669	130771
219	36830	130582
220	36998	130415
221	37156	130214
222	37322	130042
223	37487	129868
224	37644	129663
225	37821	129529
226	37990	129369
227	38173	129255
228	38335	129069
229	38491	128861
230	38650	128667
231	38816	128497
232	39003	128394
233	39254	128499
234	39444	128406
235	39629	128291
236	39806	128153
237	39977	127996
238	40157	127864
239	40335	127727
240	40499	127547
241	40662	127363
242	40829	127193
243	41006	127053
244	41163	126852
245	41346	126728
246	41531	126612
247	41683	126396
248	41846	126212
249	42002	126006
250	42196	125916
251	42371	125770
252	42548	125628
253	42725	125484
254	42888	125300
255	43069	125171
256	43263	125077
257	43428	124898
258	43610	124768
259	43765	124563
260	43943	124421
261	44137	124325
262	44339	124252
263	44537	124165
264	44714	124020
265	44884	123853
266	45039	123648
267	45212	123490
268	45384	123330
269	45574	123220
270	45768	123119
271	45972	123044
272	46137	122865
273	46322	122736
274	46521	122647
275	46681	122453
276	46871	122340
277	47080	122273
278	47279	122181
279	47451	122019
280	47615	121834
281	47778	121648
282	47942	121466
283	48116	121307
284	48275	121111
285	48433	120915
286	48612	120769
287	48788	120615
288	48955	120441
289	49126	120274
290	49318	120160
291	49481	119975
292	49660	119830
293	49842	119688
294	50040	119588
295	50250	119513
296	50435	119380
297	50645	119306
298	50801	119103
299	50966	118921
300	51168	118827
301	51332	118643
302	51522	118517
303	51700	118366
304	51856	118164
305	52027	117997
306	52223	117886
307	52406	117744
308	52582	117586
309	52803	117529
310	52972	117356
311	53166	117238
312	53343	117083
313	53586	117070
314	53750	116885
315	53931	116736
316	54098	116560
317	54276	116403
318	54467	116276
319	54642	116115
320	54822	115965
321	55015	115840
322	55186	115670
323	55358	115501
324	55521	115314
325	55688	115134
326	55854	114954
327	56026	114786
328	56177	114574
329	56344	114396
330	56512	114220
331	56712	114109
332	56880	113932
333	57043	113746
334	57215	113576
335	57401	113435
336	57578	113277
337	57765	113138
338	57902	112901
339	58069	112722
340	58226	112525
341	58392	112345
342	58546	112143
343	58713	111965
344	58910	111843
345	59091	111693
346	59268	111533
347	59427	111340
348	59571	111121
349	59723	110915
350	59883	110724
351	60088	110617
352	60241	110413
353	60405	110231
354	60599	110102
355	60767	109928
356	60948	109775
357	61118	109602
358	61288	109431
359	61455	109254
360	61625	109082
361	61799	108917
362	61978	108761
363	62185	108654
364	62378	108522
365	62546	108345
366	62711	108165
367	62879	107988
368	63042	107804
369	63205	107620
370	63389	107470
371	63564	107307
372	63723	107116
373	63902	106960
374	64095	106825
375	64274	106668
376	64425	106464
377	64601	106302
378	64760	106111
379	64915	105915
380	65066	105712
381	65225	105522
382	65396	105352
383	65565	105178
384	65736	105007
385	65910	104842
386	66062	104640
387	66234	104473
388	66421	104328
389	66595	104162
390	66747	103962
391	66904	103770
392	67065	103584
393	67252	103438
394	67440	103294
395	67624	103144
396	67793	102971
397	67980	102824
398	68138	102634
